X_0,X_1,X_2,class
kind_3,22.06633785,4.062412886,1
kind_1,20.37794805,4.060629032,1
kind_3,23.94842673,6.230860574,1
kind_2,25.48810626,6.424107302,0
kind_4,19.16577506,5.054655993,0
kind_4,17.30056511,4.213372444,1
kind_2,17.80856954,4.101389676,1
kind_3,17.73273347,4.06358423,0
kind_3,17.279513,4.06087351,1
kind_4,21.71649722,5.311723516,0
kind_2,22.00159051,4.057173763,0
kind_1,17.19215588,4.306287941,0
kind_2,19.31368829,6.006150249,0
kind_1,23.36049726,4.119974459,0
kind_3,20.0567691,6.417871069,1
kind_2,17.83299278,6.42374546,1
kind_3,19.29135982,4.057486905,0
kind_1,17.28978885,6.424113729,1
kind_1,24.1823033,6.42400402,1
kind_2,25.34955966,4.060311906,1
kind_4,17.97152459,4.611957061,1
kind_4,17.00388808,4.129966032,1
kind_4,20.14837942,4.057169104,0
kind_2,19.26759364,5.303768204,0
kind_2,17.36233433,4.065381111,0
kind_3,17.29001466,4.057327092,1
kind_3,22.84307084,6.25249109,0
kind_3,20.31268842,4.362159947,1
kind_3,18.47924777,6.282256439,1
kind_2,17.00605484,6.424092604,0
kind_3,18.62879866,4.086959393,0
kind_2,19.73457698,6.420486135,0
kind_3,17.08960077,4.097427748,1
kind_1,28.94791308,4.767792616,1
kind_3,38.07223112,4.379524723,0
kind_4,32.18261125,6.424108766,1
kind_4,29.2604009,6.420122078,0
kind_3,17.27506099,6.415321938,0
kind_4,20.83505212,6.424029261,0
kind_3,17.84658449,6.42409564,0
kind_2,19.69951378,6.424113705,0
kind_3,17.01980239,4.164970821,0
kind_3,17.11030719,4.064410406,1
kind_2,17.00522592,4.057169432,1
kind_2,21.26710886,4.214114724,0
kind_3,19.35077252,4.570279795,0
kind_1,19.28044941,6.409192132,1
kind_3,19.89481523,4.057170156,0
kind_3,17.13491949,4.068862847,0
kind_4,18.50939958,4.057195158,0
kind_3,19.59441987,6.399274935,0
kind_2,17.07988595,6.423197597,0
kind_3,17.11529749,6.424093399,1
kind_3,20.93292792,4.061463477,0
kind_4,18.27755254,4.057172146,0
kind_1,17.93780242,5.84653665,1
kind_4,35.33715113,6.424090446,0
kind_3,21.46810721,6.423423656,1
kind_1,17.28918073,6.424095368,1
kind_2,17.07158795,4.057883534,0
kind_4,17.00658812,6.191701353,0
kind_2,19.19261234,4.909803439,0
kind_4,23.73859873,4.067917646,0
kind_2,20.67776802,4.465574039,0
kind_1,18.84439415,6.424105636,0
kind_1,33.59516168,6.394745823,0
kind_1,20.76985978,6.424113713,1
kind_4,21.28121585,6.418469299,1
kind_1,17.63083218,4.93978406,1
kind_3,18.58954227,5.208723816,0
kind_4,17.22753869,4.057465517,0
kind_2,25.74213348,4.058186673,1
kind_4,18.08134716,4.452350777,0
kind_4,17.60431578,4.057169443,0
kind_1,17.05237328,4.063824543,1
kind_3,23.51343673,4.364732398,0
kind_4,18.33194952,4.257770028,0
kind_1,21.61719056,6.262201622,0
kind_3,17.15076341,4.596330192,0
kind_2,17.41023725,4.057171317,1
kind_1,23.11444546,6.048888548,0
kind_3,27.38421843,6.010502509,0
kind_2,20.60764343,5.36375777,0
kind_2,17.02218364,4.243199452,1
kind_4,24.61656375,4.676432642,0
kind_3,20.42910915,5.231003497,0
kind_2,17.27313252,4.619329,0
kind_1,17.01584459,4.086515506,1
kind_3,23.92364621,5.260737547,1
kind_2,20.42822202,4.057317667,0
kind_4,23.96960698,6.391526851,1
kind_4,17.77310088,5.436580167,0
kind_4,30.66905073,4.057194523,0
kind_1,18.40816014,6.424089915,1
kind_3,18.9043391,5.117478661,0
kind_1,18.20646537,6.399686984,0
kind_3,17.08540132,6.424040995,1
kind_1,17.50593682,6.424097509,1
kind_1,16.99810986,6.424103929,1
kind_3,19.0879409,4.057560562,0
kind_2,18.88888251,6.101353449,0
kind_1,25.78205139,4.155183862,1
kind_2,23.74288811,6.282977007,1
kind_3,19.25173121,5.298079762,1
kind_3,17.6488181,5.912624607,1
kind_3,17.86702414,6.424113732,0
kind_4,17.01762746,4.058810214,1
kind_3,24.97290751,4.166726293,1
kind_4,25.52560286,6.423945686,0
kind_3,21.81629526,4.38897431,1
kind_2,19.02503785,6.422750285,1
kind_2,30.62106908,6.132223809,0
kind_1,24.39017542,6.380790813,1
kind_1,17.96233646,6.129780349,0
kind_3,33.74559836,6.420367092,1
kind_3,17.28776098,6.422227028,0
kind_1,26.201388,4.061878143,1
kind_3,17.12869603,4.057942992,1
kind_3,17.54690981,6.367463744,0
kind_1,20.81346162,5.322352604,0
kind_2,17.60621242,5.720089407,0
kind_4,23.68919963,4.189893152,0
kind_3,17.06782369,6.393108466,0
kind_2,17.00920559,4.131894148,1
kind_1,20.23379075,6.375213788,1
kind_3,17.14336073,4.059387351,0
kind_1,17.27520196,6.424052337,0
kind_1,21.42189236,6.274603788,1
kind_2,17.63594194,6.276024454,1
kind_2,23.08328075,4.170802143,0
kind_3,18.35629542,4.057750874,0
kind_1,19.66135425,4.066873923,0
kind_3,17.46403585,4.07617928,0
kind_3,18.5505541,6.423999893,1
kind_1,17.04154766,6.424109278,1
kind_4,19.23324061,4.601091923,0
kind_3,22.18099387,4.057181303,1
kind_1,19.50592693,5.049586198,1
kind_1,32.32286291,6.389415125,0
kind_3,17.06771393,6.423020683,0
kind_2,21.15814663,6.424018051,0
kind_3,17.42533731,6.350746407,0
kind_1,23.06666003,5.761000809,1
kind_3,17.78327292,4.670593022,1
kind_1,17.2413651,4.35406939,1
kind_2,21.15211696,5.17417843,1
kind_3,23.32497157,6.423052875,0
kind_3,17.04265228,4.058555383,1
kind_2,17.09036256,6.423806085,1
kind_3,21.83306773,6.326017676,0
kind_2,21.13006106,6.322993861,0
kind_3,18.39735003,4.135443597,1
kind_2,17.20105124,6.357099999,0
kind_3,22.9891902,5.963855272,1
kind_3,31.5666313,6.407973987,1
kind_3,19.30005462,6.404579679,1
kind_1,17.76516858,6.373423213,1
kind_4,18.20098806,6.241585264,0
